overall,neg,neu,pos,compound
  4.0, 0.0, 0.846, 0.154, 0.9099
  5.0, 0.0, 0.823, 0.177, 0.6249
  4.0, 0.141, 0.763, 0.096, -0.4019
  4.0, 0.0, 0.741, 0.259, 0.743
  3.0, 0.0, 0.843, 0.157, 0.9186
  5.0, 0.027, 0.823, 0.15, 0.9309
  5.0, 0.059, 0.738, 0.202, 0.7905
  4.0, 0.052, 0.833, 0.115, 0.6956
  5.0, 0.0, 0.651, 0.349, 0.8807
  5.0, 0.0, 0.733, 0.267, 0.7351
  5.0, 0.095, 0.652, 0.253, 0.5849
  3.0, 0.056, 0.778, 0.166, 0.8519
  4.0, 0.034, 0.764, 0.203, 0.9549
  5.0, 0.046, 0.759, 0.195, 0.9388
  4.0, 0.096, 0.739, 0.166, 0.1868
  5.0, 0.0, 0.655, 0.345, 0.9291
  3.0, 0.133, 0.741, 0.127, -0.3404
  5.0, 0.0, 0.683, 0.317, 0.7845
  4.0, 0.064, 0.862, 0.074, 0.8367
  1.0, 0.0, 0.872, 0.128, 0.3612
  4.0, 0.0, 0.741, 0.259, 0.8294
  4.0, 0.0, 0.572, 0.428, 0.9136
  4.0, 0.0, 0.917, 0.083, 0.4404
  4.0, 0.0, 0.799, 0.201, 0.939
  5.0, 0.0, 0.683, 0.317, 0.9538
  5.0, 0.0, 0.778, 0.222, 0.8513
  5.0, 0.038, 0.846, 0.117, 0.9325
  4.0, 0.098, 0.654, 0.248, 0.8274
  5.0, 0.087, 0.778, 0.135, 0.2911
  5.0, 0.0, 0.763, 0.237, 0.8402
  5.0, 0.099, 0.754, 0.147, 0.802
  5.0, 0.038, 0.905, 0.056, 0.2263
  5.0, 0.045, 0.701, 0.254, 0.91
  1.0, 0.086, 0.561, 0.353, 0.8885
  5.0, 0.0, 0.83, 0.17, 0.5994
  5.0, 0.11, 0.89, 0.0, -0.3549
  5.0, 0.0, 0.829, 0.171, 0.85
  5.0, 0.046, 0.903, 0.051, 0.049
  5.0, 0.0, 0.587, 0.413, 0.966
  5.0, 0.0, 0.754, 0.246, 0.8016
  5.0, 0.0, 0.82, 0.18, 0.7639
  5.0, 0.083, 0.502, 0.415, 0.8822
  5.0, 0.0, 0.656, 0.344, 0.9002
  5.0, 0.0, 0.706, 0.294, 0.8534
  5.0, 0.101, 0.597, 0.302, 0.659
  5.0, 0.0, 0.611, 0.389, 0.9096
  5.0, 0.0, 0.608, 0.392, 0.9269
  4.0, 0.0, 0.744, 0.256, 0.8225
  5.0, 0.05, 0.725, 0.226, 0.8176
  5.0, 0.147, 0.792, 0.061, -0.4973
  5.0, 0.031, 0.526, 0.443, 0.9782
  5.0, 0.0, 0.602, 0.398, 0.891
  5.0, 0.0, 0.707, 0.293, 0.8519
  5.0, 0.075, 0.787, 0.138, 0.9281
  5.0, 0.0, 0.69, 0.31, 0.872
  5.0, 0.0, 0.856, 0.144, 0.7096
  5.0, 0.09, 0.692, 0.218, 0.6124
  5.0, 0.0, 0.718, 0.282, 0.9788
  4.0, 0.041, 0.6, 0.358, 0.9509
  4.0, 0.017, 0.761, 0.221, 0.9783
  5.0, 0.0, 0.597, 0.403, 0.926
  4.0, 0.1, 0.59, 0.31, 0.6908
  5.0, 0.056, 0.712, 0.231, 0.7089
  5.0, 0.0, 0.442, 0.558, 0.9647
  5.0, 0.0, 0.561, 0.439, 0.9312
  5.0, 0.0, 0.896, 0.104, 0.4404
  4.0, 0.047, 0.75, 0.204, 0.7379
  3.0, 0.0, 0.837, 0.163, 0.5647
  4.0, 0.0, 0.757, 0.243, 0.8265
  5.0, 0.057, 0.744, 0.199, 0.6521
  5.0, 0.084, 0.751, 0.165, 0.631
  4.0, 0.031, 0.837, 0.132, 0.9327
  5.0, 0.0, 0.773, 0.227, 0.7564
  5.0, 0.073, 0.891, 0.036, -0.2732
  4.0, 0.0, 0.69, 0.31, 0.7665
  5.0, 0.0, 0.626, 0.374, 0.9386
  5.0, 0.076, 0.79, 0.135, 0.4062
  5.0, 0.0, 0.621, 0.379, 0.854
  5.0, 0.0, 0.641, 0.359, 0.8777
  3.0, 0.0, 0.777, 0.223, 0.5574
  5.0, 0.0, 0.883, 0.117, 0.6696
  1.0, 0.11, 0.863, 0.026, -0.9548
  5.0, 0.0, 0.826, 0.174, 0.6633
  3.0, 0.0, 1.0, 0.0, 0.0
  5.0, 0.0, 0.726, 0.274, 0.8519
  4.0, 0.0, 0.811, 0.189, 0.6369
  4.0, 0.161, 0.641, 0.198, 0.4587
  5.0, 0.0, 0.785, 0.215, 0.8126
  5.0, 0.093, 0.907, 0.0, -0.5216
  5.0, 0.0, 0.644, 0.356, 0.9136
  3.0, 0.211, 0.789, 0.0, -0.7763
  5.0, 0.0, 0.613, 0.387, 0.9001
  4.0, 0.073, 0.859, 0.068, -0.036
  5.0, 0.0, 0.664, 0.336, 0.8221
  5.0, 0.0, 0.602, 0.398, 0.9169
  4.0, 0.122, 0.697, 0.18, 0.6597
  1.0, 0.143, 0.789, 0.067, -0.3818
  4.0, 0.035, 0.78, 0.185, 0.9751
  5.0, 0.0, 0.412, 0.588, 0.9792
  5.0, 0.0, 0.828, 0.172, 0.8066
  3.0, 0.051, 0.69, 0.26, 0.8442
  4.0, 0.086, 0.814, 0.101, 0.0909
  3.0, 0.053, 0.795, 0.152, 0.9008
  3.0, 0.113, 0.759, 0.128, 0.2458
  5.0, 0.0, 0.691, 0.309, 0.765
  1.0, 0.163, 0.734, 0.103, -0.8942
  5.0, 0.0, 1.0, 0.0, 0.0
  5.0, 0.0, 0.672, 0.328, 0.8316
  5.0, 0.033, 0.759, 0.208, 0.8957
  5.0, 0.155, 0.845, 0.0, -0.6083
  5.0, 0.089, 0.49, 0.421, 0.91
  4.0, 0.069, 0.657, 0.274, 0.9803
  5.0, 0.032, 0.659, 0.309, 0.9042
  5.0, 0.0, 0.658, 0.342, 0.8718
  5.0, 0.0, 0.658, 0.342, 0.91
  5.0, 0.068, 0.715, 0.218, 0.9826
  5.0, 0.0, 0.69, 0.31, 0.9133
  4.0, 0.0, 0.481, 0.519, 0.9442
  5.0, 0.0, 0.624, 0.376, 0.8876
  5.0, 0.0, 0.499, 0.501, 0.9524
  4.0, 0.04, 0.934, 0.026, -0.4607
  4.0, 0.076, 0.774, 0.15, 0.9987
  4.0, 0.0, 0.938, 0.063, 0.4939
  5.0, 0.028, 0.796, 0.176, 0.9891
  4.0, 0.028, 0.67, 0.302, 0.9714
  5.0, 0.092, 0.721, 0.187, 0.6858
  5.0, 0.0, 0.759, 0.241, 0.977
  4.0, 0.03, 0.81, 0.16, 0.9985
  3.0, 0.18, 0.518, 0.303, 0.8312
  3.0, 0.114, 0.735, 0.151, 0.7882
  5.0, 0.018, 0.877, 0.105, 0.8701
  5.0, 0.147, 0.766, 0.087, -0.9896
  4.0, 0.035, 0.864, 0.101, 0.5086
  4.0, 0.0, 0.916, 0.084, 0.8442
  5.0, 0.144, 0.764, 0.093, -0.9676
  5.0, 0.081, 0.811, 0.108, 0.5977
  3.0, 0.0, 0.469, 0.531, 0.6872
  5.0, 0.134, 0.754, 0.111, -0.8326
  4.0, 0.101, 0.791, 0.107, 0.429
  3.0, 0.106, 0.76, 0.134, 0.7928
  5.0, 0.0, 0.717, 0.283, 0.8356
  5.0, 0.061, 0.793, 0.146, 0.9973
  5.0, 0.0, 0.803, 0.197, 0.7269
  5.0, 0.0, 0.708, 0.292, 0.7482
  5.0, 0.0, 0.604, 0.396, 0.8883
  4.0, 0.033, 0.706, 0.261, 0.9641
  5.0, 0.0, 0.836, 0.164, 0.9468
  5.0, 0.074, 0.508, 0.418, 0.9601
  5.0, 0.0, 0.803, 0.197, 0.5994
  4.0, 0.201, 0.7, 0.098, -0.3025
  5.0, 0.0, 0.601, 0.399, 0.892
  5.0, 0.0, 0.738, 0.262, 0.8502
  5.0, 0.0, 0.844, 0.156, 0.5859
  4.0, 0.079, 0.737, 0.184, 0.9956
  3.0, 0.104, 0.896, 0.0, -0.2144
  5.0, 0.099, 0.767, 0.134, 0.2732
  5.0, 0.0, 0.741, 0.259, 0.6794
  5.0, 0.161, 0.606, 0.233, 0.6249
  4.0, 0.07, 0.787, 0.143, 0.8951
  3.0, 0.044, 0.658, 0.298, 0.8381
  3.0, 0.129, 0.719, 0.151, 0.9868
  5.0, 0.0, 0.64, 0.36, 0.8932
  5.0, 0.0, 0.665, 0.335, 0.8908
  5.0, 0.073, 0.882, 0.045, -0.9783
  5.0, 0.122, 0.732, 0.146, 0.1779
  5.0, 0.0, 0.677, 0.323, 0.8752
  5.0, 0.024, 0.783, 0.193, 0.9698
  4.0, 0.0, 0.634, 0.366, 0.8687
  5.0, 0.113, 0.806, 0.081, -0.5742
  5.0, 0.0, 1.0, 0.0, 0.0
  5.0, 0.0, 0.667, 0.333, 0.8392
  5.0, 0.097, 0.631, 0.272, 0.9166
  3.0, 0.0, 1.0, 0.0, 0.0
  4.0, 0.132, 0.753, 0.115, -0.9564
  5.0, 0.087, 0.769, 0.144, 0.9873
  5.0, 0.094, 0.832, 0.074, -0.8237
  5.0, 0.093, 0.779, 0.128, 0.3818
  5.0, 0.0, 0.458, 0.542, 0.9694
  5.0, 0.101, 0.76, 0.139, 0.8106
  5.0, 0.17, 0.758, 0.072, -0.9638
  4.0, 0.223, 0.617, 0.16, -0.5994
  5.0, 0.0, 0.723, 0.277, 0.8943
  5.0, 0.023, 0.862, 0.116, 0.9729
  5.0, 0.056, 0.65, 0.294, 0.9436
  5.0, 0.013, 0.83, 0.157, 0.9825
  5.0, 0.0, 0.655, 0.345, 0.9357
  5.0, 0.035, 0.782, 0.184, 0.8479
  5.0, 0.0, 0.622, 0.378, 0.8991
  5.0, 0.104, 0.745, 0.151, 0.6059
  5.0, 0.049, 0.785, 0.167, 0.9659
  5.0, 0.058, 0.803, 0.139, 0.9937
  5.0, 0.071, 0.862, 0.067, -0.2801
  5.0, 0.0, 0.608, 0.392, 0.891
  4.0, 0.112, 0.667, 0.222, 0.9881
  5.0, 0.124, 0.759, 0.116, -0.1531
  5.0, 0.0, 0.664, 0.336, 0.8622
  5.0, 0.02, 0.839, 0.141, 0.9095
  4.0, 0.111, 0.727, 0.162, 0.5499
  4.0, 0.08, 0.679, 0.241, 0.9599
  5.0, 0.104, 0.446, 0.449, 0.9118
  4.0, 0.055, 0.721, 0.224, 0.902
  5.0, 0.07, 0.637, 0.293, 0.9861
  4.0, 0.08, 0.855, 0.065, -0.6828
  5.0, 0.037, 0.748, 0.216, 0.9662
  5.0, 0.026, 0.866, 0.108, 0.9549
  5.0, 0.04, 0.782, 0.177, 0.91
  5.0, 0.0, 0.868, 0.132, 0.4404
  5.0, 0.0, 0.654, 0.346, 0.8166
  5.0, 0.0, 0.726, 0.274, 0.8834
  5.0, 0.0, 0.582, 0.418, 0.9708
  5.0, 0.0, 0.629, 0.371, 0.9899
  5.0, 0.158, 0.546, 0.296, 0.8425
  5.0, 0.0, 0.547, 0.453, 0.891
  5.0, 0.063, 0.638, 0.299, 0.9115
  5.0, 0.097, 0.684, 0.219, 0.9562
  5.0, 0.035, 0.639, 0.326, 0.864
  5.0, 0.0, 0.357, 0.643, 0.9571
  3.0, 0.052, 0.803, 0.145, 0.6467
  4.0, 0.108, 0.613, 0.28, 0.886
  1.0, 0.0, 0.929, 0.071, 0.7808
  3.0, 0.115, 0.832, 0.053, -0.5023
  3.0, 0.173, 0.661, 0.166, -0.2911
  4.0, 0.0, 0.646, 0.354, 0.8555
  4.0, 0.052, 0.792, 0.157, 0.7713
  3.0, 0.091, 0.719, 0.19, 0.4404
  4.0, 0.051, 0.715, 0.233, 0.9871
  3.0, 0.014, 0.761, 0.224, 0.9531
  5.0, 0.097, 0.822, 0.081, -0.4133
  3.0, 0.076, 0.821, 0.103, 0.4998
  3.0, 0.128, 0.872, 0.0, -0.3632
  1.0, 0.113, 0.724, 0.162, 0.5108
  3.0, 0.107, 0.631, 0.262, 0.7964
  4.0, 0.099, 0.769, 0.133, 0.2829
  4.0, 0.078, 0.703, 0.219, 0.8683
  4.0, 0.0, 0.763, 0.237, 0.6476
  4.0, 0.045, 0.568, 0.386, 0.9186
  3.0, 0.0, 0.905, 0.095, 0.296
  3.0, 0.127, 0.828, 0.044, -0.73
  4.0, 0.0, 0.914, 0.086, 0.5267
  1.0, 0.1, 0.753, 0.147, 0.5707
  5.0, 0.0, 0.736, 0.264, 0.9169
  5.0, 0.0, 0.557, 0.443, 0.923
  5.0, 0.0, 0.595, 0.405, 0.872
  5.0, 0.052, 0.612, 0.336, 0.9778
  5.0, 0.044, 0.693, 0.263, 0.8774
  5.0, 0.0, 0.607, 0.393, 0.9116
  5.0, 0.0, 0.619, 0.381, 0.5719
  5.0, 0.021, 0.717, 0.262, 0.9935
  3.0, 0.069, 0.931, 0.0, -0.2846
  5.0, 0.07, 0.633, 0.297, 0.8016
  5.0, 0.076, 0.747, 0.177, 0.9466
  4.0, 0.138, 0.653, 0.208, 0.5913
  5.0, 0.0, 0.577, 0.423, 0.9661
  5.0, 0.132, 0.63, 0.238, 0.8893
  5.0, 0.0, 0.765, 0.235, 0.8225
  4.0, 0.0, 0.742, 0.258, 0.7906
  5.0, 0.082, 0.845, 0.073, -0.445
  5.0, 0.053, 0.831, 0.116, 0.5106
  5.0, 0.117, 0.763, 0.12, -0.1779
  5.0, 0.0, 0.592, 0.408, 0.9382
  4.0, 0.0, 1.0, 0.0, 0.0
  5.0, 0.0, 0.684, 0.316, 0.9246
  5.0, 0.063, 0.823, 0.115, 0.9015
  5.0, 0.034, 0.738, 0.227, 0.9485
  5.0, 0.023, 0.846, 0.131, 0.9718
  5.0, 0.0, 0.42, 0.58, 0.93
  5.0, 0.077, 0.775, 0.148, 0.9153
  5.0, 0.053, 0.742, 0.205, 0.943
  5.0, 0.149, 0.851, 0.0, -0.5994
  5.0, 0.046, 0.731, 0.223, 0.8591
  5.0, 0.0, 0.844, 0.156, 0.7745
  4.0, 0.056, 0.654, 0.29, 0.7737
  5.0, 0.0, 0.72, 0.28, 0.765
  4.0, 0.067, 0.878, 0.056, -0.4227
  5.0, 0.043, 0.789, 0.169, 0.9027
  5.0, 0.0, 0.66, 0.34, 0.9641
  3.0, 0.098, 0.813, 0.089, -0.9204
  5.0, 0.0, 0.0, 1.0, 0.6114
  5.0, 0.075, 0.841, 0.084, -0.1513
  5.0, 0.144, 0.494, 0.362, 0.6458
  5.0, 0.0, 0.694, 0.306, 0.8316
  5.0, 0.219, 0.715, 0.067, -0.9996
  5.0, 0.05, 0.726, 0.223, 0.9921
  4.0, 0.115, 0.693, 0.192, 0.6458
  5.0, 0.12, 0.741, 0.139, 0.0516
  5.0, 0.1, 0.774, 0.125, 0.6908
  5.0, 0.0, 0.517, 0.483, 0.9421
  5.0, 0.093, 0.635, 0.272, 0.981
  4.0, 0.0, 0.695, 0.305, 0.9601
  5.0, 0.0, 0.789, 0.211, 0.624
  5.0, 0.068, 0.747, 0.185, 0.5789
  5.0, 0.079, 0.759, 0.162, 0.8242
  5.0, 0.0, 0.598, 0.402, 0.9552
  5.0, 0.074, 0.903, 0.023, -0.34
  5.0, 0.0, 0.556, 0.444, 0.9151
  5.0, 0.0, 0.609, 0.391, 0.8979
  5.0, 0.0, 0.66, 0.34, 0.9371
  4.0, 0.0, 0.57, 0.43, 0.9153
  5.0, 0.124, 0.697, 0.179, 0.4374
  5.0, 0.0, 0.659, 0.341, 0.9186
  4.0, 0.186, 0.715, 0.099, -0.9731
  5.0, 0.042, 0.761, 0.197, 0.7992
  5.0, 0.0, 0.852, 0.148, 0.5093
  5.0, 0.0, 0.796, 0.204, 0.882
  1.0, 0.169, 0.623, 0.208, -0.0455
  5.0, 0.093, 0.797, 0.111, -0.0772
  5.0, 0.0, 0.545, 0.455, 0.9493
  5.0, 0.121, 0.717, 0.163, 0.0772
  5.0, 0.025, 0.622, 0.353, 0.9577
  5.0, 0.0, 0.536, 0.464, 0.9633
  3.0, 0.0, 0.736, 0.264, 0.7783
  4.0, 0.0, 0.658, 0.342, 0.9734
  5.0, 0.012, 0.899, 0.089, 0.8427
  5.0, 0.094, 0.75, 0.156, 0.9407
  5.0, 0.0, 0.903, 0.097, 0.4215
  2.0, 0.057, 0.828, 0.115, 0.9834
  5.0, 0.021, 0.861, 0.118, 0.8176
  5.0, 0.029, 0.715, 0.256, 0.9798
  5.0, 0.154, 0.687, 0.159, -0.7772
  5.0, 0.0, 0.788, 0.212, 0.9621
  5.0, 0.0, 0.675, 0.325, 0.8271
  5.0, 0.153, 0.773, 0.074, -0.963
  5.0, 0.298, 0.502, 0.2, -0.9217
  5.0, 0.107, 0.833, 0.06, -0.765
  4.0, 0.03, 0.861, 0.109, 0.9516
  5.0, 0.109, 0.743, 0.148, 0.9779
  5.0, 0.101, 0.824, 0.075, -0.3022
  4.0, 0.063, 0.762, 0.174, 0.9493
  5.0, 0.117, 0.823, 0.059, -0.9963
  4.0, 0.104, 0.806, 0.09, -0.3847
  4.0, 0.052, 0.636, 0.312, 0.9931
  5.0, 0.171, 0.726, 0.103, -0.946
  5.0, 0.051, 0.757, 0.192, 0.9471
  5.0, 0.008, 0.903, 0.089, 0.9206
  4.0, 0.047, 0.775, 0.178, 0.7385
  5.0, 0.087, 0.744, 0.169, 0.9791
  5.0, 0.253, 0.65, 0.096, -0.6798
  5.0, 0.0, 0.749, 0.251, 0.8271
  5.0, 0.086, 0.692, 0.223, 0.9906
  5.0, 0.27, 0.499, 0.232, -0.6085
  5.0, 0.0, 0.808, 0.192, 0.7506
  5.0, 0.03, 0.702, 0.268, 0.991
  5.0, 0.089, 0.734, 0.177, 0.9486
  5.0, 0.029, 0.694, 0.277, 0.9885
  5.0, 0.12, 0.794, 0.086, -0.9962
  5.0, 0.284, 0.396, 0.321, 0.1447
  5.0, 0.12, 0.747, 0.133, 0.34
  5.0, 0.148, 0.789, 0.063, -0.9775
  5.0, 0.099, 0.745, 0.156, 0.3612
  5.0, 0.153, 0.746, 0.101, -0.9946
  5.0, 0.034, 0.863, 0.103, 0.7506
  5.0, 0.101, 0.773, 0.126, 0.7324
  4.0, 0.01, 0.823, 0.167, 0.9578
  4.0, 0.044, 0.755, 0.201, 0.917
  3.0, 0.143, 0.766, 0.091, -0.9124
  5.0, 0.165, 0.438, 0.398, 0.9042
  4.0, 0.1, 0.69, 0.21, 0.9963
  5.0, 0.1, 0.772, 0.129, 0.2263
  5.0, 0.109, 0.609, 0.282, 0.7003
  5.0, 0.422, 0.347, 0.232, -0.8217
  5.0, 0.16, 0.75, 0.09, -0.7514
  5.0, 0.065, 0.686, 0.25, 0.9938
  5.0, 0.221, 0.632, 0.146, -0.9763
  5.0, 0.065, 0.806, 0.129, 0.9765
  5.0, 0.167, 0.71, 0.124, -0.9956
  5.0, 0.175, 0.736, 0.089, -0.9449
  5.0, 0.08, 0.744, 0.176, 0.9631
  4.0, 0.086, 0.781, 0.133, 0.9823
  4.0, 0.171, 0.682, 0.147, -0.9681
  5.0, 0.027, 0.889, 0.084, 0.8671
  5.0, 0.0, 0.888, 0.112, 0.4404
  5.0, 0.054, 0.896, 0.05, -0.0258
  5.0, 0.022, 0.941, 0.037, 0.2732
  5.0, 0.084, 0.873, 0.044, -0.5673
  5.0, 0.0, 0.854, 0.146, 0.6486
  5.0, 0.0, 0.685, 0.315, 0.7845
  5.0, 0.076, 0.725, 0.199, 0.9221
  5.0, 0.049, 0.691, 0.26, 0.9389
  4.0, 0.08, 0.839, 0.081, 0.0219
  5.0, 0.0, 0.847, 0.153, 0.9246
  5.0, 0.0, 0.759, 0.241, 0.6597
  5.0, 0.082, 0.814, 0.104, 0.2223
  4.0, 0.048, 0.935, 0.018, -0.5187
  5.0, 0.119, 0.644, 0.237, 0.5423
  5.0, 0.0, 0.897, 0.103, 0.4939
  5.0, 0.057, 0.85, 0.094, 0.9101
  5.0, 0.043, 0.912, 0.045, 0.0772
  5.0, 0.137, 0.669, 0.194, 0.6915
  3.0, 0.0, 0.717, 0.283, 0.8271
  5.0, 0.127, 0.763, 0.111, 0.0387
  5.0, 0.0, 0.848, 0.152, 0.5932
  3.0, 0.142, 0.819, 0.039, -0.5245
  5.0, 0.055, 0.751, 0.194, 0.7487
  4.0, 0.058, 0.836, 0.105, 0.3182
  5.0, 0.055, 0.699, 0.246, 0.743
  5.0, 0.0, 0.91, 0.09, 0.7897
  5.0, 0.079, 0.819, 0.102, 0.9274
  5.0, 0.0, 0.406, 0.594, 0.6588
  5.0, 0.0, 1.0, 0.0, 0.0
  5.0, 0.128, 0.675, 0.197, 0.9184
  5.0, 0.103, 0.732, 0.165, 0.9988
  5.0, 0.089, 0.781, 0.13, 0.5423
  5.0, 0.0, 0.79, 0.21, 0.9039
  4.0, 0.107, 0.728, 0.165, 0.9972
  5.0, 0.084, 0.778, 0.138, 0.908
  4.0, 0.145, 0.631, 0.224, 0.9138
  5.0, 0.03, 0.754, 0.216, 0.9483
  4.0, 0.048, 0.853, 0.099, 0.4767
  5.0, 0.2, 0.635, 0.164, -0.2551
  5.0, 0.182, 0.752, 0.065, -0.9879
  3.0, 0.241, 0.687, 0.072, -0.6859
  5.0, 0.0, 0.861, 0.139, 0.6124
  5.0, 0.085, 0.915, 0.0, -0.3612
  5.0, 0.036, 0.864, 0.1, 0.6808
  4.0, 0.113, 0.78, 0.107, -0.3415
  5.0, 0.085, 0.826, 0.09, 0.3071
  5.0, 0.105, 0.836, 0.059, -0.4374
  5.0, 0.15, 0.774, 0.076, -0.4678
  5.0, 0.133, 0.807, 0.061, -0.8939
